Nr.,User-ID,Zeitstempel,Methode,Typ
1,119,"2026-02-04 14:17:52",Card,"PAUSE BEG.PAUSE ENDE (Door)"
2,110,"2026-02-04 20:31:27",Card,"KOMMEN (Door)"
3,115,"2026-02-05 02:46:51",Card,"KOMMEN (Door)"
4,110,"2026-02-05 04:29:01",Card,"SALDO (Door)"
5,110,"2026-02-05 05:04:14",Card," (Door)"
6,110,"2026-02-05 05:04:47",Card,"PAUSE BEG.PAUSE ENDE (Door)"
7,110,"2026-02-05 05:04:49",Card,"PAUSE BEG.PAUSE ENDE (Door)"
8,119,"2026-02-05 09:47:34",Card,"KOMMEN (Door)"
9,115,"2026-02-05 10:27:07",Card,"PAUSE BEG.PAUSE ENDE (Door)"
10,119,"2026-02-05 12:58:41",Card,"PAUSE BEG.PAUSE ENDE (Door)"
11,110,"2026-02-05 20:31:37",Card,"KOMMEN (Door)"
12,115,"2026-02-06 02:50:38",Card,"KOMMEN (Door)"
13,110,"2026-02-06 04:29:03",Card,"SALDO (Door)"
14,110,"2026-02-06 05:00:29",Card," (Door)"
15,110,"2026-02-06 05:02:12",Card,"PAUSE BEG.PAUSE ENDE (Door)"
16,110,"2026-02-06 05:02:14",Card,"PAUSE BEG.PAUSE ENDE (Door)"
17,115,"2026-02-06 10:32:41",Card,"PAUSE BEG.PAUSE ENDE (Door)"
18,119,"2026-02-07 10:11:09",Card,"KOMMEN (Door)"
19,119,"2026-02-07 14:14:59",Card,"PAUSE BEG.PAUSE ENDE (Door)"
20,110,"2026-02-08 20:31:20",Card,"KOMMEN (Door)"
